cell_id_hex	n0_hex	n1_hex	n2_hex	n3_hex
0x1004000000000000	0x1aac000000000000	0x100c000000000000	0x101c000000000000	0x0ffc000000000000
0x1000010000000000	0x1aaaab0000000000	0x1000070000000000	0x1000030000000000	0x0fffff0000000000
0x1000000040000000	0x1aaaaaaac0000000	0x10000000c0000000	0x10000001c0000000	0x0fffffffc0000000
0x1000000000100000	0x1aaaaaaaaab00000	0x1000000000700000	0x1000000000300000	0x0ffffffffff00000
0x1000000000000400	0x1aaaaaaaaaaaac00	0x1000000000000c00	0x1000000000001c00	0x0ffffffffffffc00
0x1000000000000001	0x1aaaaaaaaaaaaaab	0x1000000000000007	0x1000000000000003	0x0fffffffffffffff
0x8084000000000000	0x807c000000000000	0x808c000000000000	0x809c000000000000	0x54d4000000000000
0x8085810000000000	0x8085870000000000	0x808f7f0000000000	0x80857f0000000000	0x8085830000000000
0x8085809ec0000000	0x8085809f40000000	0x8085809e40000000	0x8085809c40000000	0x8085809940000000
0x8085809e8e900000	0x8085809e8c300000	0x8085809e8eb00000	0x8085809e8ef00000	0x8085809e8e700000
0x8085809e8e8d8c00	0x8085809e8e8df400	0x8085809e8e927400	0x8085809e8e8d8400	0x8085809e8e8d9400
0x8085809e8e8d8c61	0x8085809e8e8d8c8b	0x8085809e8e8d8c63	0x8085809e8e8d8c67	0x8085809e8e8d8c5f
0x4874000000000000	0x47dc000000000000	0x487c000000000000	0x486c000000000000	0x480c000000000000
0x4876050000000000	0x4876030000000000	0x48761b0000000000	0x48760f0000000000	0x4876070000000000
0x487604ce40000000	0x487604cec0000000	0x487604cdc0000000	0x487604d1c0000000	0x487604cfc0000000
0x487604ce36700000	0x487604ce36100000	0x487604ce36500000	0x487604ce36900000	0x487604ce35d00000
0x487604ce36748c00	0x487604ce36749400	0x487604ce36748400	0x487604ce36746400	0x487604ce3674f400
0x487604ce36748fa9	0x487604ce36748faf	0x487604ce36748fa7	0x487604ce36748f07	0x487604ce36748fab
0x601c000000000000	0x6004000000000000	0x6014000000000000	0x6024000000000000	0x5ff4000000000000
0x60188d0000000000	0x6018f30000000000	0x60188b0000000000	0x60188f0000000000	0x6018930000000000
0x60188cd4c0000000	0x6018f32b40000000	0x60188cd340000000	0x60188cd440000000	0x60188cd540000000
0x60188cd4c8700000	0x60188cd4c8500000	0x60188cd4c8100000	0x60188cd4c7d00000	0x60188cd4c8900000
0x60188cd4c8683c00	0x60188cd4c8682400	0x60188cd4c8683400	0x60188cd4c8684400	0x60188cd4c8681400
0x60188cd4c86839b9	0x60188cd4c86839bf	0x60188cd4c86839c7	0x60188cd4c86839b7	0x60188cd4c86839bb
0x6b14000000000000	0x6b1c000000000000	0x6b3c000000000000	0x6b6c000000000000	0x6b0c000000000000
0x6b12af0000000000	0x6b12a50000000000	0x6b12b10000000000	0x6b12ad0000000000	0x6b12a90000000000
0x6b12ae3fc0000000	0x6b12ae3f40000000	0x6b12ae3e40000000	0x6b12ae1540000000	0x6b12ae4040000000
0x6b12ae3ff6300000	0x6b12ae3ff6100000	0x6b12ae3ff6500000	0x6b12ae3ff7d00000	0x6b12ae4009d00000
0x6b12ae3ff6290400	0x6b12ae3ff628fc00	0x6b12ae3ff6291c00	0x6b12ae3ff6290c00	0x6b12ae3ff629ac00
0x6b12ae3ff6290055	0x6b12ae3ff6290053	0x6b12ae3ff62901ab	0x6b12ae3ff62900ff	0x6b12ae3ff6290057
0x3004000000000000	0x2ffc000000000000	0x301c000000000000	0x300c000000000000	0x3aac000000000000
0x3000010000000000	0x2fffff0000000000	0x3000030000000000	0x3000070000000000	0x3aaaab0000000000
0x3000000040000000	0x2fffffffc0000000	0x30000001c0000000	0x30000000c0000000	0x3aaaaaaac0000000
0x3000000000100000	0x2ffffffffff00000	0x3000000000300000	0x3000000000700000	0x3aaaaaaaaab00000
0x3000000000000400	0x2ffffffffffffc00	0x3000000000001c00	0x3000000000000c00	0x3aaaaaaaaaaaac00
0x3000000000000001	0x2fffffffffffffff	0x3000000000000003	0x3000000000000007	0x3aaaaaaaaaaaaaab
0x9004000000000000	0x9aac000000000000	0x900c000000000000	0x901c000000000000	0x8ffc000000000000
0x9000010000000000	0x9aaaab0000000000	0x9000070000000000	0x9000030000000000	0x8fffff0000000000
0x9000000040000000	0x9aaaaaaac0000000	0x90000000c0000000	0x90000001c0000000	0x8fffffffc0000000
0x9000000000100000	0x9aaaaaaaaab00000	0x9000000000700000	0x9000000000300000	0x8ffffffffff00000
0x9000000000000400	0x9aaaaaaaaaaaac00	0x9000000000000c00	0x9000000000001c00	0x8ffffffffffffc00
0x9000000000000001	0x9aaaaaaaaaaaaaab	0x9000000000000007	0x9000000000000003	0x8fffffffffffffff
0x5804000000000000	0x580c000000000000	0x62ac000000000000	0x57fc000000000000	0x581c000000000000
0x5800a70000000000	0x5800a90000000000	0x62aa090000000000	0x5800a10000000000	0x5800a50000000000
0x5800a75e40000000	0x5800a760c0000000	0x5800a75fc0000000	0x5800a75ec0000000	0x5800a75dc0000000
0x5800a75e73700000	0x5800a75e73500000	0x5800a75e73100000	0x5800a75e73900000	0x5800a75e74900000
0x5800a75e737f9c00	0x5800a75e737fa400	0x5800a75e737f7400	0x5800a75e737f8400	0x5800a75e737f9400
0x5800a75e737f9ca9	0x5800a75e737f9ca7	0x5800a75e737f9caf	0x5800a75e737f9cab	0x5800a75e737f9b57
0xa7fc000000000000	0x72ac000000000000	0xa804000000000000	0xa7e4000000000000	0xa7f4000000000000
0xa7ff590000000000	0x72ab4d0000000000	0xa7ff5f0000000000	0xa7ff5b0000000000	0xa7ff570000000000
0xa7ff58a1c0000000	0xa7ff58a040000000	0xa7ff58a140000000	0xa7ff58a240000000	0xa7ff589f40000000
0xa7ff58a18c900000	0xa7ff58a18cf00000	0xa7ff58a18c700000	0xa7ff58a18b700000	0xa7ff58a18cb00000
0xa7ff58a18c806400	0xa7ff58a18c808c00	0xa7ff58a18c807c00	0xa7ff58a18c806c00	0xa7ff58a18c805c00
0xa7ff58a18c806357	0xa7ff58a18c806351	0xa7ff58a18c806355	0xa7ff58a18c8064a9	0xa7ff58a18c806359
0x0400000000000000	0xbc00000000000000	0x1c00000000000000	0x0c00000000000000	0x9400000000000000
0x0100000000000000	0xbf00000000000000	0x0300000000000000	0x0700000000000000	0x9500000000000000
0x0040000000000000	0xbfc0000000000000	0x01c0000000000000	0x00c0000000000000	0x9540000000000000
0x0010000000000000	0xbff0000000000000	0x0030000000000000	0x0070000000000000	0x9550000000000000
0x0004000000000000	0xbffc000000000000	0x001c000000000000	0x000c000000000000	0x9554000000000000
0x0001000000000000	0xbfff000000000000	0x0003000000000000	0x0007000000000000	0x9555000000000000
0x0000400000000000	0xbfffc00000000000	0x0001c00000000000	0x0000c00000000000	0x9555400000000000
0x0000100000000000	0xbffff00000000000	0x0000300000000000	0x0000700000000000	0x9555500000000000
0x0000040000000000	0xbffffc0000000000	0x00001c0000000000	0x00000c0000000000	0x9555540000000000
0x0000010000000000	0xbfffff0000000000	0x0000030000000000	0x0000070000000000	0x9555550000000000
0x2400000000000000	0xb400000000000000	0x2c00000000000000	0x3c00000000000000	0x1c00000000000000
0x2100000000000000	0xb500000000000000	0x2700000000000000	0x2300000000000000	0x1f00000000000000
0x2040000000000000	0xb540000000000000	0x20c0000000000000	0x21c0000000000000	0x1fc0000000000000
0x2010000000000000	0xb550000000000000	0x2070000000000000	0x2030000000000000	0x1ff0000000000000
0x2004000000000000	0xb554000000000000	0x200c000000000000	0x201c000000000000	0x1ffc000000000000
0x2001000000000000	0xb555000000000000	0x2007000000000000	0x2003000000000000	0x1fff000000000000
0x2000400000000000	0xb555400000000000	0x2000c00000000000	0x2001c00000000000	0x1fffc00000000000
0x2000100000000000	0xb555500000000000	0x2000700000000000	0x2000300000000000	0x1ffff00000000000
0x2000040000000000	0xb555540000000000	0x20000c0000000000	0x20001c0000000000	0x1ffffc0000000000
0x2000010000000000	0xb555550000000000	0x2000070000000000	0x2000030000000000	0x1fffff0000000000
0x4400000000000000	0x3c00000000000000	0x5c00000000000000	0x4c00000000000000	0x1400000000000000
0x4100000000000000	0x3f00000000000000	0x4300000000000000	0x4700000000000000	0x1500000000000000
0x4040000000000000	0x3fc0000000000000	0x41c0000000000000	0x40c0000000000000	0x1540000000000000
0x4010000000000000	0x3ff0000000000000	0x4030000000000000	0x4070000000000000	0x1550000000000000
0x4004000000000000	0x3ffc000000000000	0x401c000000000000	0x400c000000000000	0x1554000000000000
0x4001000000000000	0x3fff000000000000	0x4003000000000000	0x4007000000000000	0x1555000000000000
0x4000400000000000	0x3fffc00000000000	0x4001c00000000000	0x4000c00000000000	0x1555400000000000
0x4000100000000000	0x3ffff00000000000	0x4000300000000000	0x4000700000000000	0x1555500000000000
0x4000040000000000	0x3ffffc0000000000	0x40001c0000000000	0x40000c0000000000	0x1555540000000000
0x4000010000000000	0x3fffff0000000000	0x4000030000000000	0x4000070000000000	0x1555550000000000
0x6400000000000000	0x3400000000000000	0x6c00000000000000	0x7c00000000000000	0x5c00000000000000
0x6100000000000000	0x3500000000000000	0x6700000000000000	0x6300000000000000	0x5f00000000000000
0x6040000000000000	0x3540000000000000	0x60c0000000000000	0x61c0000000000000	0x5fc0000000000000
0x6010000000000000	0x3550000000000000	0x6070000000000000	0x6030000000000000	0x5ff0000000000000
0x6004000000000000	0x3554000000000000	0x600c000000000000	0x601c000000000000	0x5ffc000000000000
0x6001000000000000	0x3555000000000000	0x6007000000000000	0x6003000000000000	0x5fff000000000000
0x6000400000000000	0x3555400000000000	0x6000c00000000000	0x6001c00000000000	0x5fffc00000000000
0x6000100000000000	0x3555500000000000	0x6000700000000000	0x6000300000000000	0x5ffff00000000000
